date,Armenia,Azerbaijan,Georgia,Kazakhstan,Kyrgyzstan,Tajikistan,Uzbekistan
02-26-2020,,,0.0,,,,
02-27-2020,,,0.0,,,,
02-28-2020,,,0.0,,,,
02-29-2020,,,0.0,,,,
03-01-2020,0.0,0.0,0.0,,,,
03-02-2020,0.0,0.0,0.0,,,,
03-03-2020,0.0,0.0,0.0,,,,
03-04-2020,0.0,0.0,0.0,,,,
03-05-2020,0.0,0.0,0.0,,,,
03-06-2020,0.0,0.0,0.0,,,,
03-07-2020,0.0,0.0,0.0,,,,
03-08-2020,0.0,0.0,0.0,,,,
03-09-2020,0.0,0.0,0.0,,,,
03-10-2020,0.0,0.0,0.0,,,,
03-11-2020,0.0,0.0,0.0,,,,
03-12-2020,0.0,0.0,0.0,,,,
03-13-2020,0.0,1.0,0.0,0.0,,,
03-14-2020,0.0,1.0,0.0,0.0,,,
03-15-2020,0.0,1.0,0.0,0.0,,,0.0
03-16-2020,0.0,1.0,0.0,0.0,,,0.0
03-17-2020,0.0,1.0,0.0,0.0,,,0.0
03-18-2020,0.0,1.0,0.0,0.0,0.0,,0.0
03-19-2020,0.0,1.0,0.0,0.0,0.0,,0.0
03-20-2020,0.0,1.0,0.0,3.0,0.0,,0.0
03-21-2020,0.0,1.0,0.0,0.0,0.0,,0.0
03-22-2020,0.0,1.0,0.0,0.0,0.0,,0.0
03-23-2020,0.0,1.0,0.0,0.0,0.0,,0.0
03-24-2020,0.0,1.0,0.0,0.0,0.0,,0.0
03-25-2020,0.0,2.0,0.0,0.0,0.0,,0.0
03-26-2020,1.0,3.0,0.0,1.0,0.0,,0.0
03-27-2020,1.0,3.0,0.0,1.0,0.0,,1.0
03-28-2020,1.0,4.0,0.0,1.0,0.0,,2.0
03-29-2020,3.0,4.0,0.0,1.0,0.0,,2.0
03-30-2020,3.0,4.0,0.0,1.0,0.0,,2.0
03-31-2020,3.0,5.0,0.0,2.0,0.0,,2.0
04-01-2020,4.0,5.0,0.0,3.0,0.0,,2.0
04-02-2020,7.0,5.0,0.0,3.0,0.0,,2.0
04-03-2020,7.0,5.0,0.0,6.0,1.0,,2.0
04-04-2020,7.0,5.0,1.0,5.0,1.0,,2.0
04-05-2020,7.0,7.0,2.0,6.0,1.0,,2.0
04-06-2020,8.0,7.0,2.0,6.0,4.0,,2.0
04-07-2020,8.0,8.0,3.0,6.0,4.0,,2.0
04-08-2020,9.0,8.0,3.0,7.0,4.0,,3.0
04-09-2020,10.0,9.0,3.0,8.0,4.0,,3.0
04-10-2020,12.0,10.0,3.0,10.0,5.0,,3.0
04-11-2020,13.0,11.0,3.0,10.0,5.0,,4.0
04-12-2020,13.0,11.0,3.0,10.0,5.0,,4.0
04-13-2020,14.0,12.0,3.0,12.0,5.0,,4.0
04-14-2020,16.0,13.0,3.0,14.0,5.0,,4.0
04-15-2020,17.0,13.0,3.0,16.0,5.0,,4.0
04-16-2020,18.0,15.0,3.0,17.0,5.0,,4.0
04-17-2020,19.0,15.0,3.0,17.0,5.0,,4.0
04-18-2020,20.0,18.0,4.0,17.0,5.0,,5.0
04-19-2020,20.0,19.0,4.0,17.0,5.0,,5.0
04-20-2020,22.0,19.0,4.0,19.0,7.0,,5.0
04-21-2020,24.0,20.0,4.0,19.0,7.0,,6.0
04-22-2020,24.0,20.0,5.0,19.0,7.0,,7.0
04-23-2020,24.0,20.0,5.0,20.0,8.0,,7.0
04-24-2020,27.0,21.0,5.0,25.0,8.0,,8.0
04-25-2020,28.0,21.0,5.0,25.0,8.0,,8.0
04-26-2020,28.0,21.0,6.0,25.0,8.0,,8.0
04-27-2020,29.0,22.0,6.0,25.0,8.0,,8.0
04-28-2020,30.0,22.0,6.0,25.0,8.0,,8.0
04-29-2020,30.0,23.0,6.0,25.0,8.0,,9.0
