,Country_Region,Confirmed,Deaths,Recovered,Active,date
0,Georgia,1.0,0.0,0.0,1.0,02-26-2020
1,Georgia,1.0,0.0,0.0,1.0,02-27-2020
2,Georgia,1.0,0.0,0.0,1.0,02-28-2020
3,Georgia,1.0,0.0,0.0,1.0,02-29-2020
4,Azerbaijan,3.0,0.0,0.0,3.0,03-01-2020
5,Georgia,3.0,0.0,0.0,3.0,03-01-2020
6,Armenia,1.0,0.0,0.0,1.0,03-01-2020
7,Azerbaijan,3.0,0.0,0.0,3.0,03-02-2020
8,Georgia,3.0,0.0,0.0,3.0,03-02-2020
9,Armenia,1.0,0.0,0.0,1.0,03-02-2020
10,Azerbaijan,3.0,0.0,0.0,3.0,03-03-2020
11,Georgia,3.0,0.0,0.0,3.0,03-03-2020
12,Armenia,1.0,0.0,0.0,1.0,03-03-2020
13,Azerbaijan,3.0,0.0,0.0,3.0,03-04-2020
14,Georgia,3.0,0.0,0.0,3.0,03-04-2020
15,Armenia,1.0,0.0,0.0,1.0,03-04-2020
16,Azerbaijan,6.0,0.0,0.0,6.0,03-05-2020
17,Georgia,4.0,0.0,0.0,4.0,03-05-2020
18,Armenia,1.0,0.0,0.0,1.0,03-05-2020
19,Azerbaijan,6.0,0.0,0.0,6.0,03-06-2020
20,Georgia,4.0,0.0,0.0,4.0,03-06-2020
21,Armenia,1.0,0.0,0.0,1.0,03-06-2020
22,Azerbaijan,9.0,0.0,0.0,9.0,03-07-2020
23,Georgia,4.0,0.0,0.0,4.0,03-07-2020
24,Armenia,1.0,0.0,0.0,1.0,03-07-2020
25,Georgia,13.0,0.0,0.0,13.0,03-08-2020
26,Azerbaijan,9.0,0.0,0.0,9.0,03-08-2020
27,Armenia,1.0,0.0,0.0,1.0,03-08-2020
28,Georgia,15.0,0.0,0.0,15.0,03-09-2020
29,Azerbaijan,9.0,0.0,0.0,9.0,03-09-2020
30,Armenia,1.0,0.0,0.0,1.0,03-09-2020
31,Georgia,15.0,0.0,0.0,15.0,03-10-2020
32,Azerbaijan,11.0,0.0,0.0,11.0,03-10-2020
33,Armenia,1.0,0.0,0.0,1.0,03-10-2020
34,Georgia,24.0,0.0,0.0,24.0,03-11-2020
35,Azerbaijan,11.0,0.0,3.0,8.0,03-11-2020
36,Armenia,1.0,0.0,0.0,1.0,03-11-2020
37,Georgia,24.0,0.0,0.0,24.0,03-12-2020
38,Azerbaijan,11.0,0.0,3.0,8.0,03-12-2020
39,Armenia,4.0,0.0,0.0,4.0,03-12-2020
40,Georgia,25.0,0.0,0.0,25.0,03-13-2020
41,Azerbaijan,15.0,1.0,3.0,11.0,03-13-2020
42,Armenia,8.0,0.0,0.0,8.0,03-13-2020
43,Kazakhstan,4.0,0.0,0.0,4.0,03-13-2020
44,Georgia,30.0,0.0,0.0,30.0,03-14-2020
45,Armenia,18.0,0.0,0.0,18.0,03-14-2020
46,Azerbaijan,15.0,1.0,3.0,11.0,03-14-2020
47,Kazakhstan,6.0,0.0,0.0,6.0,03-14-2020
48,Georgia,33.0,0.0,0.0,33.0,03-15-2020
49,Armenia,26.0,0.0,0.0,26.0,03-15-2020
50,Azerbaijan,23.0,1.0,6.0,16.0,03-15-2020
51,Kazakhstan,9.0,0.0,0.0,9.0,03-15-2020
52,Uzbekistan,1.0,0.0,0.0,1.0,03-15-2020
53,Armenia,52.0,0.0,0.0,52.0,03-16-2020
54,Georgia,33.0,0.0,1.0,32.0,03-16-2020
55,Azerbaijan,15.0,1.0,6.0,8.0,03-16-2020
56,Kazakhstan,10.0,0.0,0.0,10.0,03-16-2020
57,Uzbekistan,6.0,0.0,0.0,6.0,03-16-2020
58,Armenia,78.0,0.0,1.0,77.0,03-17-2020
59,Georgia,34.0,0.0,1.0,33.0,03-17-2020
60,Kazakhstan,33.0,0.0,0.0,33.0,03-17-2020
61,Azerbaijan,28.0,1.0,6.0,21.0,03-17-2020
62,Uzbekistan,10.0,0.0,0.0,10.0,03-17-2020
63,Armenia,84.0,0.0,1.0,83.0,03-18-2020
64,Georgia,38.0,0.0,1.0,37.0,03-18-2020
65,Kazakhstan,35.0,0.0,0.0,35.0,03-18-2020
66,Azerbaijan,28.0,1.0,6.0,21.0,03-18-2020
67,Uzbekistan,15.0,0.0,0.0,15.0,03-18-2020
68,Kyrgyzstan,3.0,0.0,0.0,3.0,03-18-2020
69,Armenia,115.0,0.0,1.0,114.0,03-19-2020
70,Azerbaijan,44.0,1.0,6.0,37.0,03-19-2020
71,Kazakhstan,44.0,0.0,0.0,44.0,03-19-2020
72,Georgia,40.0,0.0,1.0,39.0,03-19-2020
73,Uzbekistan,23.0,0.0,0.0,23.0,03-19-2020
74,Kyrgyzstan,3.0,0.0,0.0,3.0,03-19-2020
75,Armenia,136.0,0.0,1.0,135.0,03-20-2020
76,Kazakhstan,49.0,3.0,0.0,46.0,03-20-2020
77,Azerbaijan,44.0,1.0,6.0,37.0,03-20-2020
78,Georgia,43.0,0.0,1.0,42.0,03-20-2020
79,Uzbekistan,33.0,0.0,0.0,33.0,03-20-2020
80,Kyrgyzstan,6.0,0.0,0.0,6.0,03-20-2020
81,Armenia,160.0,0.0,1.0,159.0,03-21-2020
82,Azerbaijan,53.0,1.0,11.0,41.0,03-21-2020
83,Kazakhstan,53.0,0.0,0.0,53.0,03-21-2020
84,Georgia,49.0,0.0,1.0,48.0,03-21-2020
85,Uzbekistan,43.0,0.0,0.0,43.0,03-21-2020
86,Kyrgyzstan,14.0,0.0,0.0,14.0,03-21-2020
87,Armenia,194.0,0.0,2.0,192.0,03-22-2020
88,Azerbaijan,65.0,1.0,11.0,53.0,03-22-2020
89,Kazakhstan,59.0,0.0,0.0,59.0,03-22-2020
90,Georgia,54.0,0.0,1.0,53.0,03-22-2020
91,Uzbekistan,43.0,0.0,0.0,43.0,03-22-2020
92,Kyrgyzstan,14.0,0.0,0.0,14.0,03-22-2020
93,Armenia,235.0,0.0,2.0,233.0,03-23-2020
94,Azerbaijan,72.0,1.0,10.0,61.0,03-23-2020
95,Georgia,61.0,0.0,8.0,53.0,03-23-2020
