date,Armenia,Azerbaijan,Georgia,Kazakhstan,Kyrgyzstan,Tajikistan,Uzbekistan
02-26-2020,,,0.0,,,,
02-27-2020,,,0.0,,,,
02-28-2020,,,0.0,,,,
02-29-2020,,,0.0,,,,
03-01-2020,0.0,0.0,0.0,,,,
03-02-2020,0.0,0.0,0.0,,,,
03-03-2020,0.0,0.0,0.0,,,,
03-04-2020,0.0,0.0,0.0,,,,
03-05-2020,0.0,0.0,0.0,,,,
03-06-2020,0.0,0.0,0.0,,,,
03-07-2020,0.0,0.0,0.0,,,,
03-08-2020,0.0,0.0,0.0,,,,
03-09-2020,0.0,0.0,0.0,,,,
03-10-2020,0.0,0.0,0.0,,,,
03-11-2020,0.0,3.0,0.0,,,,
03-12-2020,0.0,3.0,0.0,,,,
03-13-2020,0.0,3.0,0.0,0.0,,,
03-14-2020,0.0,3.0,0.0,0.0,,,
03-15-2020,0.0,6.0,0.0,0.0,,,0.0
03-16-2020,0.0,6.0,1.0,0.0,,,0.0
03-17-2020,1.0,6.0,1.0,0.0,,,0.0
03-18-2020,1.0,6.0,1.0,0.0,0.0,,0.0
03-19-2020,1.0,6.0,1.0,0.0,0.0,,0.0
03-20-2020,1.0,6.0,1.0,0.0,0.0,,0.0
03-21-2020,1.0,11.0,1.0,0.0,0.0,,0.0
03-22-2020,2.0,11.0,1.0,0.0,0.0,,0.0
03-23-2020,2.0,10.0,8.0,0.0,0.0,,0.0
03-24-2020,14.0,10.0,9.0,0.0,0.0,,0.0
03-25-2020,16.0,10.0,10.0,0.0,0.0,,0.0
03-26-2020,18.0,15.0,11.0,2.0,0.0,,0.0
03-27-2020,28.0,15.0,14.0,3.0,0.0,,5.0
03-28-2020,30.0,15.0,14.0,16.0,0.0,,5.0
03-29-2020,30.0,15.0,18.0,20.0,0.0,,7.0
03-30-2020,30.0,26.0,20.0,21.0,3.0,,7.0
03-31-2020,30.0,26.0,21.0,24.0,3.0,,7.0
04-01-2020,31.0,26.0,23.0,26.0,3.0,,12.0
04-02-2020,33.0,26.0,26.0,27.0,5.0,,25.0
04-03-2020,43.0,32.0,28.0,29.0,6.0,,25.0
04-04-2020,43.0,32.0,36.0,36.0,9.0,,25.0
04-05-2020,57.0,32.0,36.0,42.0,9.0,,30.0
04-06-2020,62.0,44.0,39.0,46.0,33.0,,30.0
04-07-2020,87.0,44.0,46.0,51.0,33.0,,30.0
04-08-2020,114.0,63.0,50.0,54.0,33.0,,30.0
04-09-2020,138.0,101.0,51.0,60.0,35.0,,38.0
04-10-2020,149.0,159.0,54.0,64.0,35.0,,42.0
04-11-2020,173.0,200.0,60.0,81.0,44.0,,42.0
04-12-2020,197.0,250.0,67.0,99.0,54.0,,66.0
04-13-2020,211.0,289.0,68.0,138.0,67.0,,85.0
04-14-2020,265.0,351.0,69.0,203.0,71.0,,99.0
04-15-2020,297.0,404.0,71.0,240.0,78.0,,107.0
04-16-2020,358.0,460.0,76.0,277.0,91.0,,129.0
04-17-2020,402.0,528.0,79.0,347.0,114.0,,156.0
04-18-2020,523.0,590.0,86.0,377.0,130.0,,194.0
04-19-2020,545.0,712.0,93.0,400.0,133.0,,225.0
04-20-2020,580.0,791.0,95.0,447.0,201.0,,261.0
04-21-2020,609.0,865.0,97.0,489.0,216.0,,357.0
04-22-2020,633.0,907.0,107.0,515.0,254.0,,450.0
04-23-2020,659.0,948.0,111.0,560.0,302.0,,561.0
04-24-2020,728.0,1013.0,132.0,604.0,345.0,,621.0
04-25-2020,803.0,1080.0,139.0,646.0,345.0,,707.0
04-26-2020,833.0,1139.0,149.0,682.0,370.0,,789.0
04-27-2020,848.0,1162.0,156.0,720.0,395.0,,892.0
04-28-2020,866.0,1221.0,168.0,774.0,416.0,,992.0
04-29-2020,900.0,1267.0,178.0,819.0,437.0,,1096.0
