Date,Armenia,Azerbaijan,Georgia,Kazakhstan,Kyrgyzstan,Tajikistan,Uzbekistan
02-26-2020,,,1.0,,,,
02-27-2020,,,1.0,,,,
02-28-2020,,,1.0,,,,
02-29-2020,,,1.0,,,,
03-01-2020,1.0,3.0,3.0,,,,
03-02-2020,1.0,3.0,3.0,,,,
03-03-2020,1.0,3.0,3.0,,,,
03-04-2020,1.0,3.0,3.0,,,,
03-05-2020,1.0,6.0,4.0,,,,
03-06-2020,1.0,6.0,4.0,,,,
03-07-2020,1.0,9.0,4.0,,,,
03-08-2020,1.0,9.0,13.0,,,,
03-09-2020,1.0,9.0,15.0,,,,
03-10-2020,1.0,11.0,15.0,,,,
03-11-2020,1.0,11.0,24.0,,,,
03-12-2020,4.0,11.0,24.0,,,,
03-13-2020,8.0,15.0,25.0,4.0,,,
03-14-2020,18.0,15.0,30.0,6.0,,,
03-15-2020,26.0,23.0,33.0,9.0,,,1.0
03-16-2020,52.0,15.0,33.0,10.0,,,6.0
03-17-2020,78.0,28.0,34.0,33.0,,,10.0
03-18-2020,84.0,28.0,38.0,35.0,3.0,,15.0
03-19-2020,115.0,44.0,40.0,44.0,3.0,,23.0
03-20-2020,136.0,44.0,43.0,49.0,6.0,,33.0
03-21-2020,160.0,53.0,49.0,53.0,14.0,,43.0
03-22-2020,194.0,65.0,54.0,59.0,14.0,,43.0
03-23-2020,235.0,72.0,61.0,62.0,16.0,,46.0
03-24-2020,249.0,87.0,70.0,72.0,42.0,,50.0
03-25-2020,265.0,93.0,75.0,81.0,44.0,,60.0
03-26-2020,290.0,122.0,79.0,111.0,44.0,,75.0
03-27-2020,329.0,165.0,83.0,150.0,58.0,,88.0
03-28-2020,407.0,182.0,90.0,228.0,58.0,,104.0
03-29-2020,424.0,209.0,91.0,284.0,84.0,,144.0
03-30-2020,482.0,273.0,103.0,302.0,94.0,,149.0
03-31-2020,532.0,298.0,110.0,343.0,107.0,,172.0
04-01-2020,571.0,359.0,117.0,380.0,111.0,,181.0
04-02-2020,663.0,400.0,134.0,435.0,116.0,,205.0
04-03-2020,736.0,443.0,155.0,464.0,130.0,,227.0
04-04-2020,770.0,521.0,162.0,531.0,144.0,,266.0
04-05-2020,822.0,584.0,174.0,584.0,147.0,,342.0
04-06-2020,833.0,641.0,188.0,662.0,216.0,,457.0
04-07-2020,853.0,717.0,196.0,697.0,228.0,,520.0
04-08-2020,881.0,822.0,211.0,727.0,270.0,,545.0
04-09-2020,921.0,926.0,218.0,781.0,280.0,,582.0
04-10-2020,937.0,991.0,234.0,812.0,298.0,,624.0
04-11-2020,967.0,1058.0,242.0,865.0,339.0,,767.0
04-12-2020,1013.0,1098.0,257.0,951.0,377.0,,865.0
04-13-2020,1039.0,1148.0,272.0,1091.0,419.0,,998.0
04-14-2020,1067.0,1197.0,300.0,1232.0,430.0,,1165.0
04-15-2020,1111.0,1253.0,306.0,1295.0,449.0,,1302.0
04-16-2020,1159.0,1283.0,348.0,1402.0,466.0,,1349.0
04-17-2020,1201.0,1340.0,370.0,1546.0,489.0,,1405.0
04-18-2020,1248.0,1373.0,388.0,1615.0,506.0,,1490.0
04-19-2020,1291.0,1398.0,394.0,1676.0,554.0,,1565.0
04-20-2020,1339.0,1436.0,402.0,1852.0,568.0,,1627.0
04-21-2020,1401.0,1480.0,408.0,1995.0,590.0,,1678.0
04-22-2020,1473.0,1518.0,416.0,2135.0,612.0,,1716.0
04-23-2020,1523.0,1548.0,425.0,2289.0,631.0,,1758.0
04-24-2020,1596.0,1592.0,444.0,2482.0,665.0,,1804.0
04-25-2020,1677.0,1617.0,456.0,2601.0,665.0,,1862.0
04-26-2020,1746.0,1645.0,486.0,2717.0,682.0,,1869.0
04-27-2020,1808.0,1678.0,497.0,2835.0,695.0,,1904.0
04-28-2020,1867.0,1717.0,511.0,3027.0,708.0,,1939.0
04-29-2020,1932.0,1766.0,517.0,3138.0,729.0,,2002.0
04-30-2020,2066.0,1804.0,539.0,3402.0,746.0,15.0,2039.0
05-01-2020,2148.0,1854.0,566.0,3597.0,756.0,15.0,2086.0
05-02-2020,2273.0,1894.0,582.0,3857.0,769.0,76.0,2118.0
05-03-2020,2386.0,1932.0,589.0,3920.0,795.0,128.0,2149.0
05-04-2020,2507.0,1984.0,593.0,4049.0,830.0,230.0,2189.0
