,Country_Region,Confirmed,Deaths,Recovered,Active,Date,days_since_100,Confirmed_change,Confirmed_change_pct,Confirmed_change_7day
0,Armenia,115.0,0.0,1.0,114.0,2020-03-19,0,31.0,0.36904761904761907,
1,Armenia,136.0,0.0,1.0,135.0,2020-03-20,1,21.0,0.18260869565217397,
2,Armenia,160.0,0.0,1.0,159.0,2020-03-21,2,24.0,0.17647058823529416,
3,Armenia,194.0,0.0,2.0,192.0,2020-03-22,3,34.0,0.2124999999999999,
4,Armenia,235.0,0.0,2.0,233.0,2020-03-23,4,41.0,0.21134020618556693,
5,Armenia,249.0,0.0,14.0,235.0,2020-03-24,5,14.0,0.05957446808510647,
6,Armenia,265.0,0.0,16.0,249.0,2020-03-25,6,16.0,0.06425702811244971,25.857142857142858
7,Armenia,290.0,1.0,18.0,271.0,2020-03-26,7,25.0,0.09433962264150941,25.0
8,Azerbaijan,122.0,3.0,15.0,104.0,2020-03-26,0,29.0,0.31182795698924726,
9,Kazakhstan,111.0,1.0,2.0,108.0,2020-03-26,0,30.0,0.37037037037037046,
10,Armenia,329.0,1.0,28.0,300.0,2020-03-27,8,39.0,0.1344827586206896,27.571428571428573
11,Azerbaijan,165.0,3.0,15.0,147.0,2020-03-27,1,43.0,0.3524590163934427,
12,Kazakhstan,150.0,1.0,3.0,146.0,2020-03-27,1,39.0,0.3513513513513513,
13,Armenia,407.0,1.0,30.0,376.0,2020-03-28,9,78.0,0.237082066869301,35.285714285714285
14,Azerbaijan,182.0,4.0,15.0,163.0,2020-03-28,2,17.0,0.10303030303030303,
15,Kazakhstan,228.0,1.0,16.0,211.0,2020-03-28,2,78.0,0.52,
16,Uzbekistan,104.0,2.0,5.0,97.0,2020-03-28,0,16.0,0.18181818181818188,
17,Armenia,424.0,3.0,30.0,391.0,2020-03-29,10,17.0,0.041769041769041726,32.857142857142854
18,Azerbaijan,209.0,4.0,15.0,190.0,2020-03-29,3,27.0,0.14835164835164827,
19,Kazakhstan,284.0,1.0,20.0,263.0,2020-03-29,3,56.0,0.2456140350877194,
20,Uzbekistan,144.0,2.0,7.0,135.0,2020-03-29,1,40.0,0.3846153846153846,
21,Armenia,482.0,3.0,30.0,449.0,2020-03-30,11,58.0,0.1367924528301887,35.285714285714285
22,Azerbaijan,273.0,4.0,26.0,243.0,2020-03-30,4,64.0,0.30622009569377995,
23,Georgia,103.0,0.0,20.0,83.0,2020-03-30,0,12.0,0.13186813186813184,
24,Kazakhstan,302.0,1.0,21.0,280.0,2020-03-30,4,18.0,0.06338028169014076,
25,Uzbekistan,149.0,2.0,7.0,140.0,2020-03-30,2,5.0,0.03472222222222232,
26,Armenia,532.0,3.0,30.0,499.0,2020-03-31,12,50.0,0.10373443983402497,40.42857142857143
27,Azerbaijan,298.0,5.0,26.0,267.0,2020-03-31,5,25.0,0.09157509157509147,
28,Georgia,110.0,0.0,21.0,89.0,2020-03-31,1,7.0,0.06796116504854366,
29,Kazakhstan,343.0,2.0,24.0,317.0,2020-03-31,5,41.0,0.13576158940397343,
30,Kyrgyzstan,107.0,0.0,3.0,104.0,2020-03-31,0,13.0,0.13829787234042556,
31,Uzbekistan,172.0,2.0,7.0,163.0,2020-03-31,3,23.0,0.15436241610738266,
32,Armenia,571.0,4.0,31.0,536.0,2020-04-01,13,39.0,0.07330827067669166,43.714285714285715
33,Azerbaijan,359.0,5.0,26.0,328.0,2020-04-01,6,61.0,0.2046979865771812,38.0
34,Georgia,117.0,0.0,23.0,94.0,2020-04-01,2,7.0,0.06363636363636371,
35,Kazakhstan,380.0,3.0,26.0,351.0,2020-04-01,6,37.0,0.10787172011661816,42.714285714285715
36,Kyrgyzstan,111.0,0.0,3.0,108.0,2020-04-01,1,4.0,0.03738317757009346,
37,Uzbekistan,181.0,2.0,12.0,167.0,2020-04-01,4,9.0,0.05232558139534893,
38,Armenia,663.0,7.0,33.0,623.0,2020-04-02,14,92.0,0.16112084063047294,53.285714285714285
39,Azerbaijan,400.0,5.0,26.0,369.0,2020-04-02,7,41.0,0.11420612813370479,39.714285714285715
40,Georgia,134.0,0.0,26.0,108.0,2020-04-02,3,17.0,0.14529914529914523,
41,Kazakhstan,435.0,3.0,27.0,405.0,2020-04-02,7,55.0,0.14473684210526305,46.285714285714285
42,Kyrgyzstan,116.0,0.0,5.0,111.0,2020-04-02,2,5.0,0.04504504504504503,
43,Uzbekistan,205.0,2.0,25.0,178.0,2020-04-02,5,24.0,0.13259668508287303,
44,Armenia,736.0,7.0,43.0,686.0,2020-04-03,15,73.0,0.11010558069381604,58.142857142857146
45,Azerbaijan,443.0,5.0,32.0,406.0,2020-04-03,8,43.0,0.10749999999999993,39.714285714285715
46,Georgia,155.0,0.0,28.0,127.0,2020-04-03,4,21.0,0.15671641791044766,
47,Kazakhstan,464.0,6.0,29.0,429.0,2020-04-03,8,29.0,0.06666666666666665,44.857142857142854
48,Kyrgyzstan,130.0,1.0,6.0,123.0,2020-04-03,3,14.0,0.1206896551724137,
49,Uzbekistan,227.0,2.0,25.0,200.0,2020-04-03,6,22.0,0.1073170731707318,19.857142857142858
50,Armenia,770.0,7.0,43.0,720.0,2020-04-04,16,34.0,0.04619565217391308,51.857142857142854
51,Azerbaijan,521.0,5.0,32.0,484.0,2020-04-04,9,78.0,0.17607223476297973,48.42857142857143
52,Georgia,162.0,1.0,36.0,125.0,2020-04-04,5,7.0,0.04516129032258065,
53,Kazakhstan,531.0,5.0,36.0,490.0,2020-04-04,9,67.0,0.1443965517241379,43.285714285714285
54,Kyrgyzstan,144.0,1.0,9.0,134.0,2020-04-04,4,14.0,0.10769230769230775,
55,Uzbekistan,266.0,2.0,25.0,239.0,2020-04-04,7,39.0,0.17180616740088106,23.142857142857142
56,Armenia,822.0,7.0,57.0,758.0,2020-04-05,17,52.0,0.06753246753246755,56.857142857142854
